ab-9883804,SKI IN SKI OUT STUDIO SUITE,Apartment,Entire home/apt,12/7/15,4-18-19,Canada,44.51077,-80.32689,Ontario,The Blue Mountains,,,,CAD,107.5,141.09,20104,26383,0.654,83,187,99,49,0,1,4,3/24/19,100,FALSE,,Moderate - Free cancellation for 48 hours,225,300,45,60,,,119,2079,520,After 4PM,11AM,1,160,23,TRUE,4.8,9883804,44119278,https://www.airbnb.com/rooms/9883804,https://a0.muscache.com/im/pictures/9c263a3b-9e02-4007-808f-1184f38771b6.jpg?aki_policy=x_large,,,,
ab-152013,BLUE MOUNTAIN CHALET: MOUNTAIN VIEW,Chalet,Entire home/apt,6/22/11,5-23-19,Canada,44.51288,-80.31351,Ontario,The Blue Mountains,,,,CAD,588.81,774.54,71246,93719,0.337,49,121,238,6,6,2,16,5/5/19,100,TRUE,,Strict - Free cancellation for 48 hours,373,500,,,19,25,447,12523,2091,After 4PM,11AM,2,107,30,TRUE,4.8,152013,731550,https://www.airbnb.com/rooms/152013,https://a0.muscache.com/im/pictures/1a113d49-d80e-4825-987a-59e5a0287ec7.jpg?aki_policy=x_large,,,,
ab-9895250,Spectacular 5 Bed Blue Mountain  Chalet,Chalet,Entire home/apt,12/8/15,5-22-19,Canada,44.51015,-80.31526,Ontario,The Blue Mountains,,,,CAD,968.6,1271.46,194688,255563,0.551,68,201,164,0,5,4,14,5/14/19,100,FALSE,,Super Strict 30 days,1492,2000,,,,,597,11191,2984,After 4PM,11AM,2,4,33,TRUE,5,9895250,19443535,https://www.airbnb.com/rooms/9895250,https://a0.muscache.com/im/pictures/9d7d8b90-4c98-47d4-8b33-78fcb58a306f.jpg?aki_policy=x_large,,,,
ab-16923364,CONDO 408 SKI-IN/OUT RIGHT ON BLUE MOUNTAIN,Condominium,Entire home/apt,1/22/17,4-8-17,Canada,44.51143923,-80.32560287,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,0,1,4,3/15/17,100,FALSE,,Moderate,386,500,,,,,155,4322,1080,4PM - 12AM (midnight),12PM (noon),2,4,4,TRUE,5,16923364,112550859,https://www.airbnb.com/rooms/16923364,https://a0.muscache.com/im/pictures/f1861742-2de7-4600-bdbc-b19802a869ba.jpg,,,,
ab-9950997,Four Season Condo at Blue Mountain,Condominium,Entire home/apt,12/11/15,11-27-17,Canada,44.50695438,-80.30795272,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,2,2,6,11/7/17,100,TRUE,,moderate,405,500,57,70,,,381,9077,2269,Anytime after 4PM,11AM,1,45,23,TRUE,4.9,9950997,39476979,https://www.airbnb.com/rooms/9950997,https://a0.muscache.com/im/pictures/5ecabaa9-fe77-40b8-8803-4f117188d135.jpg?aki_policy=x_large,,,,
ab-19191388,Ski at Blue-Classic 4 bedroom Swiss Style 410284,Chalet,Entire home/apt,6/7/17,11-25-18,Canada,44.51289829,-80.31510641,Ontario,The Blue Mountains,,,,CAD,906.56,1199.01,7252,9592,0.125,3,8,56,29,4,1,10,11/22/18,100,FALSE,,Strict - Free cancellation for 48 hours,753,1000,128,170,,,523,11047,2762,After 4PM,11AM,2,0,28,TRUE,,19191388,100353427,https://www.airbnb.com/rooms/19191388,https://a0.muscache.com/im/pictures/a3864161-6384-456f-aa97-921f396320db.jpg?aki_policy=x_large,,,,
ab-16927100,"Cottage at Blue Mountain, Private Beach, Hot Tub",Chalet,Entire home/apt,1/23/17,5-21-19,Canada,44.51421,-80.31693,Ontario,The Blue Mountains,,,,CAD,703.15,919.88,97738,127864,0.383,53,139,224,2,6,2,16,4/26/19,100,FALSE,FALSE,Strict - Free cancellation for 48 hours,1124,1500,112,150,49,65,543,12060,3015,4PM - 7PM,11AM,2,38,23,TRUE,4.3,16927100,113077012,https://www.airbnb.com/rooms/16927100,https://a0.muscache.com/im/pictures/45bc5acf-b894-4063-b281-3a8b9b33e617.jpg?aki_policy=x_large,750612vb,,https://www.homeaway.com/vacation-rental/p750612vb,https://odis.homeaway.com/odis/listing/69fe66a7-e9e2-43dc-a622-69b607236df2.c10.jpg
ab-19193146,Classic 4 Bedroom with Sauna 410286,Chalet,Entire home/apt,6/7/17,9-21-18,Canada,44.51439734,-80.31568842,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,4,1,10,9/21/18,100,FALSE,,Strict - Free cancellation for 48 hours,772,1000,90,116,,,629,15091,3773,After 4PM,11AM,2,0,30,TRUE,,19193146,100353427,https://www.airbnb.com/rooms/19193146,https://a0.muscache.com/im/pictures/38f5ad91-3042-4da3-ad9b-1c44de97ab00.jpg?aki_policy=x_large,,,,
ab-8614837,Cozy B&B Mini Home,Guesthouse,Entire home/apt,9/27/15,1-28-19,Canada,44.54603182,-80.46719363,Ontario,The Blue Mountains,,,,CAD,79.17,104,11400,14977,0.516,47,144,135,25,1,1,2,1/12/19,100,FALSE,,Flexible - Free cancellation for 48 hours,,,19,25,,,90,1477,369,After 3PM,12PM (noon),1,86,11,TRUE,4.8,8614837,28217556,https://www.airbnb.com/rooms/8614837,https://a0.muscache.com/im/pictures/110186646/1fd263ff_original.jpg?aki_policy=x_large,,,,
ab-6539910,5 Bed Blue Mountain Rental #210,Apartment,Entire home/apt,9/11/17,10-15-18,Canada,44.51257219,-80.31994318,Ontario,The Blue Mountains,,,,CAD,384,500,1152,1500,0.048,1,3,59,0,5,2,10,10/3/18,100,FALSE,,Super Strict 30 days,1170,1500,,,,,390,10922,2730,After 4PM,11AM,2,1,7,TRUE,4,6539910,19443535,https://www.airbnb.com/rooms/6539910,https://a0.muscache.com/im/pictures/a65e32fe-ee11-4b10-9da6-2e70222b199c.jpg?aki_policy=x_large,,,,
ab-17827014,SWISS CHALET IN BLUE MOUNTAIN,Cabin,Entire home/apt,3/19/17,4-8-19,Canada,44.51559,-80.30912,Ontario,The Blue Mountains,,,,CAD,700.34,917.23,70034,91723,0.327,40,100,206,29,8,2,16,3/30/19,100,FALSE,FALSE,Strict - Free cancellation for 48 hours,375,500,75,100,,,674,16778,4195,After 3PM,12PM (noon),2,37,28,TRUE,4.5,17827014,119837620,https://www.airbnb.com/rooms/17827014,https://a0.muscache.com/im/pictures/6f1923f5-0a13-4601-bce7-643163152b4a.jpg?aki_policy=x_large,3988284,CanadaStays-970970w,https://www.homeaway.com/vacation-rental/p3988284,https://odis.homeaway.com/odis/listing/bb4a6750-949d-4fc9-9b41-0547a5a5a2a0.c10.jpg
ab-9997615,Tiny House on the Beaver River,Tiny house,Entire home/apt,12/14/15,11-7-18,Canada,44.49822928,-80.49293751,Ontario,The Blue Mountains,,,,CAD,77.01,100,6007,7800,0.494,23,78,80,57,1,1,2,9/25/18,100,FALSE,,Flexible - Free cancellation for 48 hours,,,,,,,77,2145,536,,,1,69,7,TRUE,4.5,9997615,8025587,https://www.airbnb.com/rooms/9997615,https://a0.muscache.com/im/pictures/67d1d2ab-27ee-4772-8b32-76b9eb4e5f09.jpg?aki_policy=x_large,,,,
ab-6540514,9 Bedroom Blue Mountain Luxury Rental,Chalet,Entire home/apt,5/23/15,5-22-19,Canada,44.51151,-80.31774,Ontario,The Blue Mountains,,,,CAD,1020.35,1339.39,170398,223678,0.458,53,167,198,0,9,3.5,16,5/18/19,100,FALSE,,Super Strict 30 days,1498,2000,,,,,749,20973,5243,After 4PM,11AM,2,9,25,TRUE,4.3,6540514,19443535,https://www.airbnb.com/rooms/6540514,https://a0.muscache.com/im/pictures/7d410878-5e0e-478a-a2cc-854c646343ba.jpg?aki_policy=x_large,,,,
ab-18612408,Private Room and Bath in my home at Blue Mountain,Private room in townhouse,Private room,5/5/17,2-12-18,Canada,44.51128082,-80.313687,Ontario,The Blue Mountains,,,,CAD,60.5,73.3,121,147,0.067,1,2,28,0,1,1,2,10/25/17,100,FALSE,,moderate,,,17,20,,,69,1472,368,5PM - 9PM,12PM (noon),2,15,4,TRUE,4.4,18612408,129112327,https://www.airbnb.com/rooms/18612408,https://a0.muscache.com/im/pictures/cb455553-6c7b-4327-ac91-1dabc583b047.jpg?aki_policy=x_large,,,,
ab-19762025,Thornbury Cottage,Entire cabin,Entire home/apt,7/7/17,1-26-18,Canada,44.57482838,-80.47200447,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,3,1,5,11/5/17,100,FALSE,,flexible,414,500,83,100,41,,228,3477,869,11AM - 7PM,12PM (noon),10,3,12,TRUE,4.7,19762025,139456293,https://www.airbnb.com/rooms/19762025,https://a0.muscache.com/im/pictures/f4832f6a-dfe1-4a85-a532-e4374c14d129.jpg?aki_policy=x_large,,,,
ab-16148446,Rent Chalets at Blue Mountain,Chalet,Entire home/apt,11/25/16,1-9-17,Canada,44.50392843,-80.30369009,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,3,1,8,1/8/17,0,FALSE,,Moderate,117,150,,,19,25,116,3268,817,Anytime after 3PM,11AM,2,3,20,TRUE,5,16148446,105387006,https://www.airbnb.com/rooms/16148446,https://a2.muscache.com/im/pictures/38b1e558-d94e-441d-a9f5-2a4e7503f62d.jpg,,,,
ab-10084098,Luxury Modern Guest House with Swimming Pool,Chalet,Entire home/apt,12/19/15,9-25-17,Canada,44.52145801,-80.46593076,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,2,2,5,5/30/17,100,FALSE,,strict,,,110,130,,,505,11047,2762,Anytime after 5PM,2PM,6,4,30,TRUE,5,10084098,30095197,https://www.airbnb.com/rooms/10084098,https://a0.muscache.com/im/pictures/1aa773bc-d147-4485-b831-155dab326ea7.jpg?aki_policy=x_large,,,,
ab-16941608,Blue Mountain Chalet Across from Blue Mountain Inn,Chalet,Entire home/apt,1/24/17,9-8-17,Canada,44.50923394,-80.32111572,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,3,3.5,12,1/25/17,0,FALSE,,flexible,,,,,,,266,7445,1861,3PM - 2AM (next day),,30,0,4,TRUE,,16941608,113235452,https://www.airbnb.com/rooms/16941608,https://a0.muscache.com/im/pictures/9c9e5175-a113-4248-8dd7-57d4efb1dad4.jpg?aki_policy=x_large,,,,
ab-10106245,Amazing Blue Mountain Chalet 3bdr,Cabin,Entire home/apt,12/20/15,8-6-17,Canada,44.52196671,-80.3345997,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,3,2,6,7/1/17,89,FALSE,,flexible,371,450,288,350,165,200,651,11532,2883,,,2,7,27,TRUE,4.5,10106245,51863459,https://www.airbnb.com/rooms/10106245,https://a0.muscache.com/im/pictures/7b0d7aea-d84e-4c48-aa3f-ceb48e12963b.jpg?aki_policy=x_large,,,,
ab-11395612,Clean Luxury Chalet with Karaoke,Townhouse,Entire home/apt,2/19/16,5-23-19,Canada,44.50545,-80.30942,Ontario,The Blue Mountains,,,,CAD,373.59,488.47,43336,56663,0.326,54,116,240,9,3,2.5,10,5/13/19,100,FALSE,,Strict - Free cancellation for 48 hours,374,500,,,,,282,7907,1977,4PM - 10PM,11AM,2,71,25,TRUE,4.6,11395612,52429717,https://www.airbnb.com/rooms/11395612,https://a0.muscache.com/im/pictures/cf6bb977-6de4-4d47-83c4-ff39929a9be1.jpg?aki_policy=x_large,,,,
ab-16946055,Chalet on Birchview,Chalet,Entire home/apt,1/24/17,5-21-18,Canada,44.51603135,-80.30953144,Ontario,The Blue Mountains,,,,CAD,809.59,1013.24,82578,103350,0.313,47,102,224,9,6,2,16,5/12/18,100,FALSE,,Strict,803,1000,,,,,542,15172,3793,After 4PM,11AM,1,25,20,TRUE,4.6,16946055,113287910,https://www.airbnb.com/rooms/16946055,https://a0.muscache.com/im/pictures/7d944837-2086-4690-a81d-6c31e2c1166b.jpg?aki_policy=x_large,,,,
ab-16157220,6 BR Chalet in Blue w/ Private Golf Green!!,Chalet,Entire home/apt,11/26/16,5-21-19,Canada,44.50277,-80.33149,Ontario,The Blue Mountains,,,,CAD,553.82,726.95,102457,134486,0.51,80,185,178,2,6,2.5,16,5/13/19,100,TRUE,FALSE,Strict - Free cancellation for 48 hours,745,1000,,,,,379,10621,2655,After 4PM,11AM,2,87,41,TRUE,4.9,16157220,68142315,https://www.airbnb.com/rooms/16157220,https://a0.muscache.com/im/pictures/ae54b05e-97a1-4734-9511-65e1ad1db703.jpg?aki_policy=x_large,968691vb,,https://www.homeaway.com/vacation-rental/p968691vb,https://odis.homeaway.com/odis/listing/18abe9d2-67d0-4090-8a64-4a37013b6614.c10.jpg
ab-13397861,Oasis in the Mountains,Condominium,Entire home/apt,6/6/16,5-21-19,Canada,44.51266,-80.3252,Ontario,The Blue Mountains,,,,CAD,163.25,212.7,21548,28076,0.441,48,132,167,36,2,2,6,2/2/19,100,FALSE,,Strict - Free cancellation for 48 hours,373,500,,,,,183,3346,836,After 3PM,11AM,2,51,16,TRUE,4.8,13397861,76229258,https://www.airbnb.com/rooms/13397861,https://a0.muscache.com/im/pictures/06a1b955-33b7-4753-a9e8-ef405466cbd6.jpg?aki_policy=x_large,,,,
ab-10205266,Luxury Chalet w Hot tub & Sauna - Long-term rental,Cabin,Entire home/apt,5/24/17,8-6-17,Canada,44.49352932,-80.29808513,Ontario,The Blue Mountains,,,,CAD,,,0,0,,0,,,,4,2,10,7/25/17,100,FALSE,,strict,1234,1500,,,,,68,1911,478,4PM - 10PM,11AM,30,1,11,TRUE,3,10205266,52429717,https://www.airbnb.com/rooms/10205266,https://a0.muscache.com/im/pictures/1412921e-6f42-4ed6-84fa-6bc33ccf5a12.jpg?aki_policy=x_large,,,,
ab-16159347,Unique Blue Mountain Getaway-Long weekend special,Apartment,Entire home/apt,11/26/16,5-21-19,Canada,44.51672,-80.32446,Ontario,The Blue Mountains,,,,CAD,134.94,177.35,27527,36179,0.559,86,204,161,0,0,1,4,5/17/19,100,FALSE,FALSE,Strict - Free cancellation for 48 hours,379,500,60,79,,,158,2737,684,After 4PM,11AM,2,104,33,TRUE,4.8,16159347,57125206,https://www.airbnb.com/rooms/16159347,https://a0.muscache.com/im/pictures/a8357fab-1dfa-40b6-8041-c20408c95163.jpg?aki_policy=x_large,4825075,,https://www.homeaway.com/vacation-rental/p4825075,https://odis.homeaway.com/odis/listing/66f32556-8693-4e0a-a51a-81255570d3d5.c10.jpg
